,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
65,@BBC,Sat May 16 07:39:07 +0000 2020,"RT @bbceurovision: REST OF WORLD: SATURDAY

EUROPE AND AUSTRALIA: https://t.co/Tgz3Dku91B",0.0,0.0,1.0,0.0,66
66,@BBC,Sat May 16 07:26:19 +0000 2020,"It's the #WOWxBBC Festival this weekend. And the line-up is incredible. 

Today @JuliaGillard on leadership,… https://t.co/3PbWr0qnBF",0.4939,0.176,0.824,0.0,67
67,@BBC,Fri May 15 19:01:00 +0000 2020,"It's another all-star lineup on @grahnort's sofa tonight!

✨Will Ferrell
✨@mermhart
✨@MarkRuffalo
✨@mescal_paul
✨… https://t.co/4oCgTIUbHd",0.0,0.0,1.0,0.0,68
68,@BBC,Fri May 15 18:01:00 +0000 2020,"Brand new #LaterJools starts tonight!  🙌

Jools chats to @QueensChristine from her base in Paris, and singer-songwr… https://t.co/HYGCzBJheJ",0.0,0.0,1.0,0.0,69
69,@BBC,Fri May 15 17:26:23 +0000 2020,"RT @BBCLater: ""If I'm brutally honest with you, this is my favourite performance ever done on TV by any artist...""

High praise from @Queen…",0.4404,0.216,0.658,0.125,70
70,@BBC,Fri May 15 17:24:43 +0000 2020,#HealthCheckUKLive is streaming now on @bbciplayer.    https://t.co/f7VedVNpQK,0.0,0.0,1.0,0.0,71
71,@BBC,Fri May 15 17:24:03 +0000 2020,"With gyms closed, and heavy items like dumbbells difficult to get delivered - @russell_kane has a great tip for kee… https://t.co/0xy6teCxa4",0.5994,0.242,0.623,0.136,72
72,@BBC,Fri May 15 14:56:41 +0000 2020,RT @BBCTheOneShow: .@normalpeoplebbc's @daisyedgarjones and @mescal_paul will be on the show on Monday and we want to ask them your Normal…,0.0772,0.061,0.939,0.0,73
73,@BBC,Fri May 15 14:07:12 +0000 2020,"RT @HackerTDog: Do you miss Iain and Hacker? Well, we were reunited for one night only cockers. See the whole shambolic film here:
https://…",0.128,0.082,0.856,0.062,74
74,@BBC,Fri May 15 11:01:00 +0000 2020,"It may seem simple, but there are important things to remember about safely putting on and taking off a face coveri… https://t.co/F4oYPNBA15",0.7579,0.245,0.755,0.0,75
75,@BBC,Fri May 15 08:01:00 +0000 2020,"Serena and Richard are St John Ambulance volunteers, helping manage the crisis.… https://t.co/7blhshCOoI",0.296,0.155,0.845,0.0,76
76,@BBC,Thu May 14 20:04:26 +0000 2020,"For everyone whose life has changed. For everyone who misses a loved one.

You got the love. You got this.… https://t.co/t8zgf8PCFX",0.802,0.289,0.643,0.068,77
77,@BBC,Thu May 14 19:01:00 +0000 2020,"The brand new one-off special Wipe from @charltonbrooker is nearly here...

Charlie Brooker's #AntiviralWipe | 9pm… https://t.co/vCbTKrC3sf",0.4019,0.144,0.856,0.0,78
78,@BBC,Thu May 14 16:01:00 +0000 2020,It took a group of volunteers 45 minutes to rescue a wild horse stuck in a deep mud hole in the foothills of Albert… https://t.co/m3dv9Ah7ez,0.3182,0.117,0.813,0.071,79
79,@BBC,Thu May 14 15:00:23 +0000 2020,"RT @BBCNewsbeat: The #Eurovision acts have recorded this message to fans who would normally be watching this week.
 
It's part of our new d…",0.0,0.0,1.0,0.0,80
80,@BBC,Thu May 14 13:01:00 +0000 2020,"The face of someone about to VERY seriously judge a dessert... 🧐🤔

@BBCR1 presenter and children's author… https://t.co/jTdnnf8LLn",-0.4071,0.0,0.885,0.115,81
81,@BBC,Thu May 14 11:01:00 +0000 2020,Two of the nation’s favourite film critics @KermodeMovie and @simonmayo are turning their critical attention from c… https://t.co/OZvCrUJo0w,-0.5423,0.0,0.78,0.22,82
82,@BBC,Thu May 14 08:01:00 +0000 2020,Thank you from @bbcarts and @OwainWynEvans to EVERYONE who uploaded #YouGotTheLove videos and artwork to the… https://t.co/WNc4PWI2Ew,0.3612,0.135,0.865,0.0,83
83,@BBC,Wed May 13 19:14:42 +0000 2020,"Victorian thriller #ViennaBlood follows a junior doctor who is researching the criminal mind... 😱

9pm | @BBCTwo &amp;… https://t.co/M9cMrBb3fJ",-0.8316,0.049,0.629,0.322,84
84,@BBC,Wed May 13 17:26:16 +0000 2020,#Hospital: Coronavirus Specials are streaming now on @BBCiPlayer. https://t.co/4XgEd1XJbX,0.0,0.0,1.0,0.0,85
85,@BBC,Wed May 13 17:25:24 +0000 2020,"'It can happen to anyone.'

#Hospital https://t.co/eu787uvl9E",0.0,0.0,1.0,0.0,86
86,@BBC,Wed May 13 13:29:29 +0000 2020,HealthCheckUK Live | Weekdays | 10am | @bbcone &amp; @bbciplayer.  https://t.co/N23q55jbD9,0.0,0.0,1.0,0.0,87
87,@BBC,Wed May 13 13:28:04 +0000 2020,"As the government in England introduces new advice on wearing masks in public, @xandvt and @MichAckerley answer som… https://t.co/agR4fjaN7T",0.0,0.0,1.0,0.0,88
88,@BBC,Wed May 13 12:56:48 +0000 2020,"RT @BBC6Music: Happy birthday to ya!

Celebrate #StevieWonder’s 70th today by having a bop to this brilliant mix by DJ @samredmore, compile…",0.9215,0.391,0.609,0.0,89
89,@BBC,Wed May 13 12:53:50 +0000 2020,RT @bbcpress: Viewers are flocking to @BBCiPlayer in record numbers during lockdown. Here are some of the iPlayer moments getting us throug…,0.0,0.0,1.0,0.0,90
90,@BBC,Wed May 13 11:01:00 +0000 2020,"As the nation was celebrating #VEDay, the Duke of Sussex took part in a special film to commemorate the bravery of… https://t.co/1jpdxKzWYe",0.8625,0.336,0.664,0.0,91
91,@BBC,Wed May 13 10:08:29 +0000 2020,RT @bbcpress: Mwaka Mudenda joins Blue Peter as its 39th presenter today - taking on her first presenter challenge from her home &gt;&gt; https:/…,0.0772,0.053,0.947,0.0,92
92,@BBC,Wed May 13 09:05:51 +0000 2020,"Lockdown update: All you need to know about the new measures.

👉 https://t.co/uor4HblRrW https://t.co/ev1Dvve6NW",0.0,0.0,1.0,0.0,93
93,@BBC,Wed May 13 08:01:00 +0000 2020,"What is 'sharenting' (and are you doing it)?

Made in partnership with @OpenUniversity.
https://t.co/4pR37Wznoe",0.0,0.0,1.0,0.0,94
94,@BBC,Tue May 12 19:01:00 +0000 2020,"One of the most heartbreaking scenes in #NormalPeople.  😭💔

All episodes streaming now on @bbciplayer.

Via… https://t.co/GWwqTRzL90",-0.8588,0.0,0.655,0.345,95
95,@BBC,Tue May 12 18:01:00 +0000 2020,"Tonight's #Hospital: Coronavirus Special continues to follow staff and patients at @RoyalFreeNHS.

As the pandemic… https://t.co/gjzAIqGEzZ",0.4019,0.153,0.847,0.0,96
96,@BBC,Tue May 12 16:01:00 +0000 2020,"The @BBCR1 #BigWeekend UK 2020 line-up just got a whole lot bigger! 😍

Take a look at the new additions who will be… https://t.co/UNf3wpDpG9",0.5093,0.112,0.888,0.0,97
97,@BBC,Tue May 12 14:17:56 +0000 2020,"Hospital: Coronavirus Special continues tonight, 9pm, @BBCTwo &amp; @BBCiPlayer. https://t.co/KLWkG1OEMb",0.4019,0.231,0.769,0.0,98
98,@BBC,Tue May 12 14:17:13 +0000 2020,"The incredible moment that community nurse Nancy thanked her @RoyalFreeNHS colleagues, who helped her recover from… https://t.co/hBd6X58hRe",0.4404,0.153,0.847,0.0,99
99,@BBC,Tue May 12 12:01:00 +0000 2020,"11-year-old Gui Kury has become the first person to complete a 1080 turn on a vertical ramp... 🤯

https://t.co/3A2mvgU5iK",0.0,0.0,1.0,0.0,100
100,@CBS,Thu May 21 19:09:57 +0000 2020,RT @joshgroban: I’ll be on @CBSSunday this Sunday morning and doing a Facebook Live chat right after. I love this show and I’m so happy to…,0.8733,0.271,0.729,0.0,1
101,@CBS,Thu May 21 19:01:53 +0000 2020,"RT @letsmakeadeal: Wow, congrats @WayneBrady! 😍 https://t.co/23XI16Wjyv",0.8883,0.6,0.4,0.0,2
102,@CBS,Thu May 21 19:01:16 +0000 2020,RT @BandB_CBS: Congratulations are in order for the #BoldandBeautiful nominees! 💫 Let's give these stars some love for their #DaytimeEmmy n…,0.8172,0.297,0.636,0.067,3
103,@CBS,Thu May 21 19:01:07 +0000 2020,RT @PriceIsRight: Thank you for the nomination! 🤗🙏 https://t.co/7wzVmph9NC,0.68,0.359,0.641,0.0,4
104,@CBS,Thu May 21 18:59:16 +0000 2020,RT @YandR_CBS: Please join us in congratulating these outstanding #YR #DaytimeEmmy nominees! 🏆 Don't miss their big night June 26th only on…,0.8495,0.363,0.637,0.0,5
105,@CBS,Thu May 21 18:58:56 +0000 2020,"RT @TheTalkCBS: Join us in congratulating THE TALK hosts and hard-working crew of @thetalkcbs on 6 @DaytimeEmmys nominations, including OUT…",0.296,0.104,0.896,0.0,6
